	SRR8134496	SRR8134484	SRR8134499	SRR8134480	SRR8134485	SRR8134483	SRR8134482	SRR8134481	SRR8134500	SRR8134497	SRR8134501	SRR8134498
DANT1	0	9	1	9	5	7	4	7	0	0	0	1
CHMP1B2P	0	6	0	14	6	6	6	0	0	0	0	0
ENSG00000289479	0	0	0	0	2	1	0	0	1	0	0	0
ENSG00000289575	0	0	0	0	1	1	0	0	0	0	0	0
ENSG00000288783	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000226310	5	30	2	37	61	46	26	48	8	3	11	9
ENSG00000287776	0	3	0	2	4	1	8	5	0	0	0	0
ENSG00000288832	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000288980	0	0	0	0	2	3	3	0	0	0	0	0
HS6ST2	0	8	0	7	6	13	4	7	0	0	0	0
SPRY3	0	9	0	8	20	7	8	11	0	0	4	0
H2AL1Q	0	0	0	0	0	0	0	0	0	0	0	0
CCDC160	0	5	0	5	6	5	5	7	0	0	0	0
IGBP1-AS1	6	2	5	0	0	1	1	0	4	6	1	6
DGAT2L6	7	8	0	14	9	11	5	21	8	1	0	2
RN7SL581P	0	0	0	0	1	0	0	0	0	0	0	0
AWAT1	0	1	0	1	9	0	2	2	0	0	0	0
RNA5SP507	1	0	1	0	0	0	0	0	1	0	0	0
P2RY4	6	0	2	1	7	3	2	0	8	3	2	2
ARR3	16	2	9	5	2	2	2	1	8	7	1	17
RAB41	1	0	1	0	1	0	0	0	2	1	0	0
KIF4A	1413	64	395	82	87	93	40	81	1550	632	601	883
TRAPPC2LP1	0	0	0	3	3	2	1	0	0	0	0	0
RNY4P23	0	0	0	0	0	0	1	0	0	1	0	0
GDPD2	1	5	1	5	10	5	2	5	1	0	4	0
ENSG00000284391	1	52	0	84	129	98	35	91	5	0	0	1
RNU4-81P	0	0	0	1	0	0	0	0	0	0	0	0
DLG3-AS1	3	6	0	0	6	6	4	8	2	0	1	0
PDZD11	900	65	389	74	139	114	44	90	927	452	408	671
BTK	5772	125	2228	175	214	213	124	225	6298	2791	2682	4611
RNU6-320P	0	1	0	1	3	0	0	0	0	0	0	0
CD40LG	0	22	0	22	28	37	18	23	0	0	0	1
ARHGEF6	1103	151	629	237	421	261	136	284	1373	692	772	1114
RNU6-972P	0	0	0	1	0	0	1	0	0	0	2	0
Y_RNA	0	0	1	0	0	0	0	1	0	0	0	1
SNORD61	0	0	0	0	0	0	0	0	0	0	0	0
TRPC5	3	15	0	19	27	41	12	36	4	0	0	0
RTL4	0	6	0	4	12	4	1	1	1	0	1	0
DPRXP7	0	0	0	1	0	0	1	0	0	0	0	0
CCDC121P1	0	0	0	1	0	0	1	4	0	0	0	0
Y_RNA	0	1	0	1	3	3	2	8	0	0	0	0
FBLIM1P1	0	0	0	1	0	2	0	3	0	0	0	0
TEX13C	0	3	0	5	6	1	1	4	0	0	0	0
ENSG00000289449	0	0	0	0	0	0	0	0	0	0	0	0
TIMM17B	1208	20	744	33	43	40	18	52	1235	1086	981	703
CYBB	3694	103	1431	171	322	230	93	196	2756	2905	1792	1784
MIR3690	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP498	0	0	0	0	0	0	0	0	0	0	0	0
CSF2RA	0	0	0	1	0	0	0	0	0	0	0	0
MOSPD2	235	63	158	75	132	105	64	90	212	167	194	155
TPT1P14	1	0	0	1	2	2	0	2	1	0	0	0
FANCB	187	43	66	54	81	61	42	83	183	109	98	116
NPM1P9	0	0	0	0	0	0	0	0	0	0	0	0
GRPEL2P2	1	0	1	2	0	2	2	1	1	1	1	1
BLOC1S2P1	5	1	7	1	1	0	1	0	2	0	3	2
ZC3H12B	19	24	20	26	43	35	12	24	20	15	22	27
ENSG00000237971	0	1	0	2	3	2	3	1	0	0	0	0
CCT4P2	0	1	6	4	4	2	1	0	0	0	2	0
NANOGP9	0	0	0	6	3	2	1	1	0	0	0	0
RTL9	8	10	13	7	32	7	3	3	13	3	11	10
ENSG00000204620	12	74	6	108	174	127	68	146	15	20	19	13
RBM3	17811	120	6463	144	288	232	117	231	19907	8981	8704	11724
ENSG00000228343	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279528	0	0	0	0	0	0	0	0	0	0	0	0
MRPL32P1	0	0	0	0	0	0	0	1	0	0	0	0
WDR13	1424	173	1070	207	344	288	143	299	1467	1247	1495	943
VN1R110P	0	2	0	6	12	7	4	3	0	0	0	0
ENSG00000286475	0	0	0	0	0	2	0	5	0	0	0	1
ENSG00000275314	0	2	0	0	0	1	0	0	0	0	0	0
ENSG00000235510	0	0	0	0	0	0	0	0	0	0	0	0
TFDP1P2	68	0	34	0	2	1	0	0	81	31	33	48
ENSG00000289708	0	0	0	0	0	0	0	0	0	0	0	0
FAM47C	0	0	0	3	1	1	0	1	0	0	0	0
FTHL18P	0	0	0	1	2	0	0	0	0	0	0	0
ENSG00000214071	0	0	0	0	0	0	1	0	0	0	0	0
HNRNPA1P28	0	0	5	1	1	1	0	1	3	4	2	1
NUDT19P6	0	0	0	0	2	0	2	2	0	0	0	0
PGRMC1	901	32	544	75	77	66	41	68	989	711	653	669
AKAP17BP	0	1	0	6	19	9	6	4	0	0	0	0
ENSG00000230392	0	1	0	5	5	0	5	6	0	0	0	0
ENSG00000226661	1	0	0	1	2	1	1	0	0	0	0	0
MRPS17P9	0	0	0	1	1	0	0	3	0	0	0	0
SLC25A43	367	60	205	71	92	86	59	73	398	239	310	239
ENSG00000237903	0	3	2	1	1	2	0	2	0	6	1	0
RNU1-67P	0	0	2	1	2	0	0	0	0	1	2	0
RN7SL118P	2	0	3	0	2	1	0	0	0	0	2	0
RNY3P16	0	0	0	1	0	0	0	1	1	1	0	0
SLC25A5	14721	21	6035	33	46	44	18	83	16818	8888	7390	11188
UBE2A	2144	121	825	165	315	241	104	208	2199	1152	1121	1420
STEEP1	609	25	355	38	66	40	17	69	716	350	321	468
ENSG00000286794	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284800	0	0	0	0	0	0	0	0	0	0	0	0
PDHA1	3161	33	1462	44	76	69	37	66	3314	1602	1652	2250
MAP3K15	5	11	6	15	18	13	12	14	3	3	4	1
Y_RNA	0	0	0	0	0	0	0	0	0	0	0	0
EIF5P2	0	0	0	3	5	1	2	0	0	0	1	0
IKBKG	245	105	123	155	192	168	85	173	273	165	156	186
G6PD	1830	69	915	78	128	100	65	119	2041	1475	1214	1520
SLC7A3	1	1	2	4	6	2	0	7	0	0	0	0
RPS23P8	315	1	111	2	2	0	0	0	343	126	144	219
IL2RG	1412	48	1212	65	144	155	45	99	1484	1045	1371	1123
UPF3B	746	62	552	86	94	65	53	84	569	475	500	444
ENSG00000290162	0	0	1	0	0	4	0	2	0	3	0	2
ENSG00000290163	2	0	0	0	0	0	0	0	2	2	1	2
ENSG00000290164	3	0	3	0	0	0	0	2	3	2	3	1
ENSG00000290165	11	0	6	0	0	0	0	0	7	4	10	8
MSN	24991	138	11288	217	370	313	130	295	26191	16831	15331	16768
AMMECR1	565	112	459	145	202	204	85	168	558	418	437	425
GNG5B	38	0	41	4	3	0	4	8	30	34	40	31
DKC1	4588	46	1698	71	119	96	47	91	5010	2147	2011	3503
MAGEA1	0	2	0	3	0	3	2	2	0	0	0	0
ENSG00000235219	0	3	0	0	0	0	0	0	0	0	0	0
ENSG00000273877	0	1	0	0	4	1	1	0	0	0	0	1
ENSG00000231600	0	0	0	1	1	1	0	0	0	0	0	0
PWWP4	0	2	0	1	3	0	2	0	0	0	0	0
CDK16	1581	252	859	296	423	412	216	358	1876	1187	1343	1123
USP11	1570	106	1102	134	208	173	75	151	1709	1550	1593	1368
FAM3A	912	74	822	102	155	147	53	109	1071	986	1077	637
GDI1	3116	81	1914	82	138	119	75	142	2791	2236	2432	1742
PORCN	419	56	293	66	150	116	53	85	563	358	376	366
CT47C1	0	1	0	1	1	3	0	3	0	0	0	0
SH2D1A	0	4	0	11	31	10	1	6	2	0	1	1
ENSG00000230502	14	0	2	0	0	0	0	0	7	5	4	9
TNPO3P1	1	0	0	0	0	0	0	0	0	0	0	0
SSU72P1	0	1	1	1	0	3	0	0	0	0	1	0
HTR2C	0	5	0	2	10	4	2	0	0	0	0	0
RPL36AP53	0	1	0	0	0	0	0	1	0	0	0	0
ENSG00000289287	0	3	0	0	1	1	1	0	0	0	0	0
SNORA35	0	0	0	0	0	0	0	0	0	0	0	0
MIR764	0	0	0	0	1	1	0	0	0	0	0	0
MIR1912	0	0	0	0	0	0	0	0	0	0	0	0
MIR1264	0	0	0	0	0	0	0	0	0	0	0	0
MIR1298	0	0	0	1	0	0	0	0	0	0	0	0
MIR1911	0	0	0	0	0	0	0	0	0	0	0	0
HSPA8P7	414	1	85	4	2	0	1	5	468	147	94	288
MIR448	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270413	0	0	0	0	0	0	0	0	0	0	0	0
RPS26P57	0	0	0	0	0	2	0	4	0	0	0	0
RN7SL190P	0	0	0	0	0	2	1	0	0	0	0	0
Y_RNA	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000232599	0	0	0	0	0	0	0	0	0	0	0	0
TENM1	1	19	1	23	28	14	11	16	0	0	0	0
TLR8	0	7	0	18	21	9	7	7	0	0	0	1
ENSG00000288817	21	154	4	221	260	342	166	265	13	8	12	8
TMSB4X	62003	215	38964	328	572	408	185	500	68832	41140	45920	45542
FAM9C	1	37	6	47	90	100	52	55	1	2	0	0
JPX	59	62	27	110	186	147	60	121	49	38	44	45
MEMO1P4	0	28	0	40	61	38	25	38	0	0	0	0
RNU7-69P	0	2	0	0	2	2	4	0	0	0	0	0
CHCHD2P1	0	9	0	7	12	5	8	10	0	0	0	0
XIAP	671	142	634	186	260	210	117	245	647	700	757	377
LINC00632	1	15	0	23	40	56	18	42	0	0	1	2
CDR1	0	0	0	0	0	0	0	0	0	0	0	0
CASK	260	91	149	88	190	147	76	109	409	128	250	201
MBNL3	626	66	794	84	160	144	81	143	604	560	555	747
WAS	3848	101	2035	130	215	159	78	144	4186	3109	3045	2616
ENSG00000279587	0	24	0	20	46	44	17	61	0	0	0	0
Y_RNA	0	0	0	0	0	0	1	0	0	0	0	0
TUBB4BP3	0	0	0	2	0	5	2	0	0	0	0	0
RPL12P43	0	1	0	1	6	1	1	0	0	0	0	0
SAGE4P	0	6	0	6	5	4	3	11	0	0	0	0
SAGE3P	0	0	0	6	2	4	1	2	0	0	0	0
SAGE2P	0	3	0	0	2	0	2	3	0	0	0	0
ENSG00000274601	0	0	0	0	1	1	0	0	0	0	0	0
CT45A1	1	1	1	0	0	1	0	3	6	0	2	0
MGAT2P1	0	0	0	0	0	0	0	0	0	0	0	0
CT45A5	0	0	0	0	0	0	0	0	0	0	0	0
ACE2	0	7	0	4	20	19	9	14	0	0	0	0
TBC1D25	903	55	617	46	126	94	48	83	984	764	840	725
ENSG00000288908	28	73	33	91	189	130	62	150	46	24	22	18
TFE3	1585	49	1055	77	119	92	71	69	1789	1254	1350	1200
HDAC6	1555	220	798	243	377	334	191	357	1783	1096	1113	1119
PFKFB1	25	2	14	7	1	2	2	1	20	18	9	16
RPSAP59	0	1	0	0	6	1	0	2	0	0	0	0
BEX4	48	6	313	5	13	22	12	6	108	21	107	357
WWC3	986	52	791	76	139	148	67	78	1140	962	1143	894
KANTR	206	33	144	53	55	46	29	66	145	130	173	104
TCP11X1	0	0	0	0	0	0	0	1	0	0	0	0
TCP11X2	0	0	0	0	2	1	0	0	0	0	0	0
KLHL13	244	53	101	51	101	77	46	109	265	119	131	171
TDGF1P3	0	1	0	0	0	1	0	0	0	0	0	0
GATA1	0	0	2	0	3	5	1	3	0	3	2	1
RPL18AP15	3	0	1	0	1	0	0	0	1	0	0	1
RNA5SP512	1	0	0	0	1	1	0	0	0	0	0	0
ALG13-AS1	3	0	8	1	0	2	0	0	2	4	5	1
TRPC5OS	1	5	0	7	10	9	2	13	4	0	0	1
ENSG00000271421	0	0	0	2	2	0	0	1	0	0	0	0
OGT	14372	109	6241	207	310	224	135	232	11795	9572	8426	8064
RPS6KA6	28	19	68	20	60	55	39	37	31	22	31	46
MIR548I4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233484	0	0	0	1	0	1	0	1	0	0	0	0
SH3KBP1	6825	193	4501	296	408	407	180	376	6867	5740	6265	5090
MCF2	20	5	3	6	5	13	6	13	11	10	6	6
SPANXN4	0	0	0	0	0	0	0	3	0	0	0	0
MAGEB16	0	4	0	0	3	1	0	4	0	0	0	0
TENT5D	0	2	0	5	8	3	2	0	0	0	0	0
OPN1MW3	0	0	0	0	0	0	0	0	0	0	0	0
H2AL3	0	3	0	3	0	0	0	0	0	0	0	0
MAGEB6B	0	0	0	0	1	1	0	1	0	0	0	0
SPANXA1	0	0	0	0	0	0	0	0	0	0	0	0
NXF2B	0	0	0	0	0	0	0	0	0	0	0	0
CSAG2	0	0	0	0	0	0	0	0	0	0	0	0
GTPBP6	0	0	0	0	0	0	0	0	0	0	0	0
TEX28	0	1	0	0	1	0	0	1	0	0	0	0
SPANXN2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287585	0	0	0	0	2	0	0	4	0	0	0	0
TMSB15C	5	0	3	0	0	0	0	0	13	9	14	5
MAGIX	30	240	25	362	548	409	197	515	35	38	22	5
IRAK1	7626	164	2755	237	366	277	162	307	7850	5273	4097	4222
NR0B1	0	1	0	1	3	4	2	0	1	0	0	0
RNU7-56P	0	0	0	0	0	0	0	0	0	0	0	0
TXLNG	845	23	355	37	52	45	22	45	693	414	412	447
RPL12P49	0	0	0	2	0	1	0	1	0	0	0	0
RBBP7	5124	137	2267	165	239	223	118	198	5632	2805	2690	3838
RNU4-6P	0	0	0	0	0	1	0	0	0	0	0	0
SLC35C2P1	1	3	0	2	4	5	1	1	2	0	0	0
Y_RNA	0	0	0	0	1	0	2	1	0	0	0	0
REPS2	6	10	6	17	25	14	8	24	12	2	5	10
ENSG00000201467	0	0	0	1	0	0	1	0	0	0	0	0
CBX1P2	5	0	3	3	3	0	2	3	12	5	2	9
ENSG00000289472	1	41	0	73	100	107	47	100	0	2	4	0
PABIR3	137	68	106	118	170	100	80	156	152	149	158	89
MOSPD1	179	4	72	14	14	23	7	24	199	94	115	127
RNU6-616P	0	0	0	0	0	0	0	0	0	0	0	0
LINC02243	0	1	0	1	0	0	0	4	0	0	0	0
HMGB3P31	1	1	0	0	0	0	0	0	0	0	0	0
SMIM10	1	10	1	6	25	5	4	7	20	7	6	8
TCEAL8	731	28	533	42	76	71	32	43	703	434	546	585
ENSG00000224692	0	4	0	1	5	3	2	1	0	0	0	0
TCEAL5	0	0	0	1	0	7	0	0	1	3	1	0
BEX2	32	4	66	9	5	16	6	7	18	16	32	60
ENSG00000289596	1	135	1	216	369	281	121	284	1	0	0	1
ENSG00000261030	0	69	0	77	161	131	61	95	1	5	0	1
ENSG00000287700	0	1	0	5	4	7	2	3	0	0	0	0
ENSG00000289122	0	4	0	7	16	5	2	7	0	0	1	0
ARHGAP4	4207	112	2790	157	256	205	131	230	4131	4072	3670	2612
NAA10	1054	65	584	104	128	97	57	98	1302	590	644	868
ENSG00000226679	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000252050	0	1	0	1	1	0	1	0	0	0	0	0
RPGR	220	100	115	154	206	125	60	135	207	113	112	124
MECP2	1586	143	799	173	319	181	128	209	1706	1111	1090	1108
ENSG00000288759	13	65	7	81	144	103	58	106	16	6	9	12
LINC02931	0	1	0	1	1	1	0	1	0	0	0	0
ENSG00000289620	0	0	0	0	0	0	0	0	0	0	0	0
UBE2DNL	0	0	0	0	2	0	1	0	0	0	0	0
ENSG00000228427	118	58	36	80	139	71	65	122	124	47	56	69
FIRRE	194	41	130	136	105	174	80	194	59	120	73	137
SLC25A5-AS1	72	113	26	145	255	169	76	175	80	32	33	54
ENSG00000289864	0	89	0	85	163	116	74	97	0	0	1	0
ENSG00000229151	0	0	0	0	2	6	0	5	0	0	0	0
ENSG00000289068	0	2	0	8	6	3	1	8	0	0	0	0
ENSG00000289007	0	0	0	0	0	0	0	0	0	0	0	0
HCCS-DT	35	32	29	33	61	41	19	48	26	19	18	17
MIR222HG	57	119	36	154	340	171	108	171	64	40	54	16
ENSG00000289870	1	24	1	21	63	37	30	42	3	2	0	1
ENSG00000236064	2	3	2	4	5	6	4	8	1	0	3	1
ENSG00000284377	0	0	0	3	0	2	1	4	0	0	0	0
ENSG00000226530	0	9	1	7	27	11	2	5	0	0	0	1
DANT2	2	16	1	42	21	21	31	51	1	5	0	2
ENSG00000227486	58	122	27	191	232	243	95	267	59	37	43	38
ENSG00000289591	0	2	0	0	8	1	0	3	0	0	0	0
ENSG00000233928	0	11	0	18	18	10	7	13	0	0	0	0
LINC02595	0	3	0	5	13	5	5	10	0	0	0	0
ENSG00000289923	2	67	2	76	150	141	64	123	2	5	3	1
ENSG00000289038	3	12	2	21	35	23	17	26	3	2	0	2
ENSG00000286650	4	152	1	218	310	244	109	305	5	6	2	4
LINC01278	308	33	220	41	84	46	28	48	320	215	219	231
ENSG00000288595	1	1	0	0	0	1	0	3	0	0	0	0
ENSG00000288856	60	141	40	219	288	212	135	265	41	49	36	22
MIR223HG	84	442	34	724	969	711	378	974	55	68	60	23
LINC01186	0	2	0	0	5	1	1	6	0	0	0	0
ENSG00000289959	4	333	1	421	684	598	324	637	1	7	5	5
LINC00892	0	4	2	4	3	4	2	4	1	0	0	0
LINC03077	0	0	0	1	2	4	3	10	0	0	0	0
ENSG00000289132	7	78	12	127	208	161	81	179	11	16	12	5
MMGT1	580	41	310	59	91	61	40	47	452	386	363	377
ZC4H2	224	10	51	10	24	15	6	17	143	140	104	70
ENSG00000289215	0	4	0	2	14	5	3	6	0	0	0	0
DMD	318	180	318	215	462	411	225	283	377	171	284	355
FOXP3	12	5	12	3	15	1	2	7	10	11	11	8
ENSG00000290184	0	0	0	0	0	0	0	0	0	0	0	0
PGK1	29554	67	23208	107	197	162	49	177	29153	29297	35327	16246
RHOXF1P3	5	38	0	59	100	85	40	78	1	1	1	1
RHOXF1P2	0	0	1	0	1	0	0	0	0	0	0	0
RHOXF1-AS1	6	25	3	19	57	26	13	27	1	0	3	1
RHOXF2B	0	0	0	0	0	0	0	0	0	0	0	0
RHOXF1	9	3	6	14	12	14	8	11	19	12	15	12
RHOXF2	0	1	0	0	3	3	0	1	0	0	0	0
NKAPP1	35	9	9	20	27	19	10	11	19	14	16	5
SFR1P1	2	0	0	1	9	0	1	0	0	0	2	0
EEF1A1P30	27	3	3	2	8	0	1	3	13	8	18	15
ZBTB33	683	38	476	52	109	59	39	67	546	483	515	463
TMEM255A	3	28	37	23	44	67	27	42	12	2	10	21
ENSG00000232042	0	0	0	0	0	0	0	1	1	0	0	1
RNU6-1078P	0	0	0	0	0	0	0	0	0	0	0	0
RPS26P11	7	1	2	0	0	0	0	0	5	1	1	2
TPT1P15	0	0	0	0	0	0	0	0	0	0	0	0
PIN4	355	59	140	62	127	110	60	99	358	163	218	206
RN7SL388P	1	0	0	0	1	2	0	1	3	0	0	0
ERCC6L	532	27	135	52	60	35	19	53	467	241	216	289
RPS4X	44063	48	19317	96	114	89	36	125	42825	22558	21070	31551
Y_RNA	0	0	0	0	0	1	0	0	0	0	0	0
CITED1	0	1	0	8	13	5	2	2	0	0	0	1
HUWE1	14612	152	6346	213	338	302	141	300	15202	8368	8030	11730
MTMR1	1871	64	886	95	95	128	56	144	1790	1138	1034	1315
LINC02927	0	0	0	2	0	1	0	3	0	0	0	0
RNU6-383P	0	0	0	0	0	0	0	0	0	0	0	0
HMGB3	1519	15	557	27	26	38	12	37	1763	735	627	1127
RPL19P21	54	0	7	6	0	4	0	2	51	2	3	21
USP9X	3064	281	2080	401	593	661	398	484	2792	2226	2422	2053
GRIPAP1	2316	159	1253	194	341	310	156	276	2370	1530	1764	1548
ENSG00000289245	1	23	3	47	95	63	21	89	2	1	4	1
WDR45	497	154	237	202	314	241	132	300	493	298	300	297
ENSG00000169164	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000290520	0	0	0	0	0	0	0	0	0	0	0	0
CXXC1P1	0	2	0	0	0	4	0	3	0	0	0	0
TMLHEP1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000290643	0	0	0	0	0	0	0	0	0	0	0	0
SSX8P	0	0	0	0	0	0	0	0	0	0	0	0
SSX9P	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000226870	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234442	0	0	0	0	0	0	0	0	0	0	0	0
SSX6P	0	0	0	0	0	0	0	0	0	0	0	0
FSIP2LP	0	16	3	24	46	31	20	48	0	0	0	0
ENSG00000290740	0	3	0	1	11	3	2	3	0	0	0	0
TCP11X3P	0	0	0	3	4	1	0	0	0	0	0	0
CA5BP1	5	2	0	1	12	6	0	3	2	4	3	2
ENSG00000232765	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000290748	0	0	0	0	0	0	0	0	0	0	0	0
NXF5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000290798	0	0	0	3	2	1	0	1	0	0	0	0
ENSG00000229015	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000290806	0	0	0	0	1	1	1	0	0	0	0	0
NXF4	0	0	0	0	0	0	0	0	0	0	0	0
CSAG4	0	0	0	0	0	0	0	0	0	0	0	0
MAGEA5P	0	0	0	0	0	0	0	0	0	0	0	0
ARMCX7P	0	0	0	0	1	1	0	4	1	3	1	0
ENSG00000290908	3	0	3	0	0	0	0	0	3	1	8	3
ENSG00000231069	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000290955	0	1	0	0	0	1	0	0	0	0	0	0
ENSG00000237265	1	2	0	0	0	1	1	0	0	0	0	0
CD99P1	0	0	0	0	0	0	0	0	0	0	0	0
TM9SF5P	0	2	0	0	1	5	1	0	1	0	0	0
ENSG00000291054	20	43	16	56	132	74	35	96	25	21	31	13
RHOXF1P1	0	0	0	0	0	0	0	0	0	0	0	0
RHOXF1P1	0	2	0	2	4	4	2	4	0	0	0	0
PNMA6E	0	1	1	1	4	3	1	4	1	0	0	0
ATP2B3	0	11	0	16	37	33	19	30	1	0	3	0
ENSG00000290743	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230187	0	2	0	0	2	1	2	1	0	0	0	0
ENSG00000277492	0	0	0	0	0	0	0	0	0	0	0	0
SNORD3E	0	0	0	0	0	0	0	0	0	0	0	0
WASHC3P1	0	0	0	1	0	0	1	0	0	0	0	0
DLG3	97	35	71	27	44	50	29	29	193	92	161	62
ENSG00000287757	2	1	6	12	8	21	14	8	3	2	2	5
ENSG00000291285	0	2	0	0	1	7	1	6	0	0	0	0
ENSG00000290734	0	0	0	0	0	0	1	0	0	0	0	0
SSX9P	0	0	0	0	0	2	0	0	0	0	0	0
CSTF2	1480	46	547	55	99	86	36	92	1721	700	675	1182
NOX1	9	3	6	8	8	9	6	11	5	1	4	3
HNRNPA1P26	37	1	26	2	4	0	1	1	39	26	22	34
HNRNPA1P27	12	0	2	0	3	1	0	4	19	10	7	7
NSA2P3	3	0	1	0	6	1	0	2	2	8	5	1
XKRX	19	20	2	22	23	14	18	13	26	22	7	16
BGN	0	2	8	1	1	5	0	5	0	3	0	0
MAGEA13P	0	2	0	0	0	4	0	0	0	0	0	0
KRT8P6	0	0	0	0	3	2	0	0	0	0	0	0
H2AQ1P	0	0	0	0	0	0	0	2	0	0	0	0
FGF13	0	18	1	19	45	23	12	22	0	0	0	0
ENSG00000232183	0	0	0	0	0	0	0	0	0	0	0	0
MIR504	0	0	0	0	1	0	0	0	0	0	0	0
FGF13-AS1	0	1	0	0	0	1	0	4	0	0	0	0
TPM2P1	0	0	0	0	0	0	0	0	0	0	0	0
GLRA2	0	3	0	3	6	3	5	0	1	0	0	0
LAMP2	1360	59	933	67	93	83	44	99	1252	1050	1019	852
RTL5	17	8	11	4	21	16	6	12	15	4	14	18
GPM6B	14	12	14	23	49	25	16	23	15	15	26	20
PRAF2	103	6	71	12	21	22	8	4	131	69	76	108
ZCCHC12	0	2	1	2	10	3	0	6	0	0	0	0
SMS	2176	54	1122	53	91	111	45	81	2312	1285	1292	1537
DCX	1	9	0	6	23	11	7	15	0	0	0	1
DDX3X	8271	435	3693	556	980	761	378	867	7139	4939	4007	5138
RNU6-1044P	0	0	0	0	0	0	0	0	0	0	0	0
CDX4	0	1	0	0	1	1	0	1	0	0	0	0
MORF4L1P6	0	1	0	0	0	0	1	1	0	0	0	0
MAP2K4P1	13	5	14	14	20	15	12	14	9	7	8	7
RPL7P53	0	1	0	0	0	0	0	0	0	0	0	0
FTX	422	337	383	511	840	649	356	691	311	416	355	214
ATP5MKP1	16	0	4	0	2	0	0	0	15	4	8	10
BMP2KL	1	0	0	0	5	0	0	0	0	0	0	0
RAB11FIP1P1	50	0	23	1	1	0	2	1	38	69	29	25
ENSG00000271533	82	4	69	13	8	1	7	11	53	84	91	52
MIR421	0	0	0	0	0	0	0	0	0	0	0	0
MIR374B	0	0	0	0	0	0	0	0	0	0	0	0
MIR374C	0	0	0	0	0	0	0	0	0	0	0	0
RN7SL648P	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000278421	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273974	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275254	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275625	0	0	0	0	0	0	0	0	0	0	0	0
MIR545	0	2	0	2	3	2	0	4	0	0	0	0
MIR374A	0	0	0	0	2	2	0	0	0	0	0	0
ENSG00000277922	0	0	0	0	0	0	0	0	0	0	0	0
ZCCHC13	0	0	0	1	0	2	0	1	0	0	0	0
ENSG00000226515	0	0	0	0	0	0	0	2	0	0	0	0
RPS6P26	68	0	11	0	0	0	0	0	81	10	10	54
TSIX	0	15	0	29	43	35	16	35	4	0	0	3
XIST	0	12	1	17	25	18	10	12	0	1	3	0
ENSG00000291306	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000291017	0	0	0	6	14	5	2	6	0	0	0	0
ENSG00000290713	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000290714	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283178	0	1	0	3	2	1	1	0	0	0	0	1
ENSG00000283599	2	4	0	2	6	8	5	4	0	0	1	0
ENSG00000291310	0	0	0	0	0	0	0	0	2	1	0	0
H2BW2	0	0	0	0	2	7	1	1	0	0	0	0
H2BW3P	9	0	7	1	0	0	0	0	3	4	2	3
IL13RA1	65	12	71	9	34	18	8	15	103	30	53	73
ENSG00000239182	0	0	0	0	0	0	0	0	0	0	0	0
TMEM30BP1	1	0	0	0	6	2	0	0	0	0	0	0
ATP11C	1029	134	504	166	284	218	115	216	698	759	529	430
ENSG00000291314	0	0	0	0	0	0	0	0	0	0	0	0
IQSEC2	17	38	6	22	54	68	29	44	11	19	14	8
PAK3	0	14	0	12	43	34	21	19	0	0	0	0
ZNF185	151	8	42	9	28	24	9	26	64	54	25	47
ENSG00000289890	10	84	2	112	176	129	80	158	7	5	3	5
CXXC1P1	0	1	0	2	3	9	0	1	0	0	0	0
ENSG00000280195	81	170	91	223	371	258	162	268	93	91	93	72
TAFAZZIN	919	150	627	183	392	288	126	263	892	778	856	567
ATP6AP1-DT	42	22	30	33	37	50	24	33	31	28	27	40
MID1	13	17	1	17	12	9	6	21	7	5	10	1
TCEANC	90	136	62	137	367	347	172	155	92	83	63	65
ALG13	681	95	548	136	256	159	108	220	636	527	582	442
TKTL1	0	11	1	9	13	8	7	13	1	7	4	0
NHSL2	13	27	8	40	68	53	31	39	11	10	9	2
RNU2-68P	0	0	2	0	2	0	0	0	0	0	2	0
MIR6134	0	0	0	0	1	0	0	0	0	0	0	0
